source,source_lot_id,lot_url,sale_date_utc,sale_local_time,location_city,location_state,vin,year,make,model,title_status,condition_notes
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2005_Toyota_4runner_Li_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,Future Sale,New York,NY,,2005,TOYOTA,4runner Li,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2008_Toyota_4runner_Sr_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2008,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2008_Toyota_4runner_Li_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2008,TOYOTA,4runner Li,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2003_Toyota_4runner_Li_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2003,TOYOTA,4runner Li,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2006_Toyota_4runner_Sr_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2006,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2000_Toyota_4runner_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2000,TOYOTA,4runner,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2001_Toyota_4runner_Sr_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2001,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2025_Toyota_Tacoma_Dou_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",New York,NY,,2025,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2025_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",New York,NY,,2025,TOYOTA,Tacoma Double Cab,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2025_Toyota_Tacoma_Dou_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2025,TOYOTA,Tacoma Dou,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2025_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2025,TOYOTA,Tacoma Double Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2024_Toyota_Tacoma_Dou_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",New York,NY,,2024,TOYOTA,Tacoma Dou,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2024_Toyota_Tacoma_Dou_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2024,TOYOTA,Tacoma Dou,unknown,
